# Comments,Timestamp,comments_comp,comments_neg,comments_neu,comments_pos,score,submission_compound,submission_neg,submission_neu,submission_pos,title_compound,title_neg,title_neu,title_pos
0,9/1/2018 21:04,0,0,0,0,1,0.9988,0,0.767,0.233,0.3612,0,0.462,0.538
1,9/1/2018 20:28,0.3182,0,0.943,0.057,1,0,0,0,0,0.5267,0,0.861,0.139
8,9/1/2018 18:46,0.3618,0.0095,0.76025,0.230375,1,0.5499,0.058,0.832,0.11,0,0,1,0
2,8/31/2018 11:20,0.3182,0,0.943,0.057,1,0,0,0,0,0.34,0.297,0.316,0.386
0,8/30/2018 7:22,0,0,0,0,1,0.9979,0.064,0.772,0.164,0.3182,0,0.685,0.315
1,8/29/2018 13:30,0.3182,0,0.901,0.099,1,0,0,0,0,0,0,1,0
2,8/29/2018 7:30,0.0772,0.159,0.647,0.194,1,0.9612,0,0.883,0.117,0,0,1,0
0,8/28/2018 8:15,0,0,0,0,1,0.9946,0.005,0.825,0.17,0,0,1,0
1,8/28/2018 7:24,0.0859,0.11,0.798,0.091,1,0.9783,0.022,0.816,0.162,0.4019,0,0.27,0.73
0,8/27/2018 21:23,0,0,0,0,1,0.9879,0.049,0.829,0.122,0.1779,0,0.779,0.221
1,8/27/2018 12:56,0,0,0,0,1,0.9647,0,0.895,0.105,0,0,1,0
0,8/27/2018 12:37,0,0,0,0,1,0.3612,0.046,0.87,0.084,0.1779,0,0.825,0.175
0,8/27/2018 2:45,0,0,0,0,1,0.9967,0.017,0.841,0.141,0.8225,0,0.583,0.417
1,8/26/2018 21:12,0.3182,0,0.943,0.057,1,0,0,0,0,0.5423,0,0.696,0.304
10,8/26/2018 12:06,0.36438,0.0159,0.8565,0.1275,1,0.6249,0,0.85,0.15,0,0,1,0
1,8/26/2018 10:38,0.3182,0,0.943,0.057,1,0,0,0,0,0,0,1,0
2,8/24/2018 20:49,0.3182,0,0.943,0.057,1,0,0,0,0,0.6124,0,0.688,0.312
1,8/23/2018 12:07,0.3182,0,0.943,0.057,1,0,0,0,0,0.5719,0,0.875,0.125
0,8/23/2018 0:34,0,0,0,0,1,0,0,1,0,0.2732,0,0.84,0.16
2,8/22/2018 10:10,0.3182,0,0.943,0.057,1,0,0,0,0,0.4019,0,0.722,0.278
2,8/21/2018 20:52,0.17585,0.0745,0.798,0.1275,1,0.4404,0,0.854,0.146,0,0,1,0
1,8/20/2018 21:08,0.3182,0,0.943,0.057,1,0,0,0,0,0,0,1,0
18,8/20/2018 19:08,0.212152941,0.026647059,0.873764706,0.099529412,1,0.5023,0,0.889,0.111,0,0,1,0
2,8/20/2018 18:23,0.3182,0,0.943,0.057,1,0,0,0,0,0.2732,0,0.811,0.189
4,8/20/2018 3:51,0.453575,0.07275,0.79175,0.13575,1,0.9864,0.049,0.83,0.121,0.4019,0,0.748,0.252
15,8/19/2018 17:32,0.515073333,0.035933333,0.782733333,0.1814,1,0.7096,0,0.859,0.141,0.4939,0,0.61,0.39
1,8/19/2018 10:47,0.8779,0.015,0.89,0.095,1,0.8221,0,0.744,0.256,0.34,0,0.745,0.255
0,8/17/2018 15:28,0,0,0,0,1,0.9819,0,0.79,0.21,0.1316,0.094,0.772,0.134
0,8/16/2018 16:21,0,0,0,0,1,0.9875,0.049,0.829,0.122,0,0,1,0
0,8/16/2018 6:20,0,0,0,0,1,0,0,0,0,0.4767,0,0.78,0.22
1,8/15/2018 21:13,0.3182,0,0.943,0.057,1,0,0,0,0,-0.5574,0.173,0.827,0
