# Comments,Timestamp,comments_comp,comments_neg,comments_neu,comments_pos,score,submission_compound,submission_neg,submission_neu,submission_pos,title_compound,title_neg,title_neu,title_pos
8,8/22/2018,0.020628571,0.043714286,0.918285714,0.038,1,0,0,0,0,0,0,1,0
1,8/22/2018,0.3182,0,0.635,0.365,1,0.6287,0,0.936,0.064,0,0,1,0
6,8/22/2018,0.28004,0,0.8546,0.1454,1,0,0,1,0,0,0,1,0
0,8/22/2018,0,0,0,0,1,0,0,0,0,-0.6428,0.233,0.767,0
0,8/22/2018,0,0,0,0,1,0,0,1,0,0.2023,0.113,0.739,0.148
0,8/21/2018,0,0,0,0,1,0.6908,0,0.875,0.125,-0.4215,0.412,0.588,0
6,8/21/2018,0.31674,0.049,0.8444,0.1066,1,0.466,0.017,0.918,0.066,0,0,1,0
4,8/21/2018,0.47625,0.00725,0.7435,0.24925,1,0.8156,0,0.728,0.272,0.6249,0,0.769,0.231
27,8/21/2018,0.589921739,0.019521739,0.752826087,0.227608696,1,0.9627,0.018,0.824,0.158,0.5093,0,0.378,0.622
16,8/20/2018,0.16196,0.0408,0.8002,0.159066667,1,0,0,0,0,0,0,1,0
0,8/20/2018,0,0,0,0,1,0,0,0,0,0.4588,0,0.769,0.231
0,8/20/2018,0,0,0,0,1,0,0,0,0,0.2732,0,0.704,0.296
0,8/20/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8/20/2018,0,0,0,0,1,0,0,0,0,0.4588,0,0.769,0.231
0,8/20/2018,0,0,0,0,1,0.9871,0,0.818,0.182,0,0,1,0
1,8/20/2018,-0.4939,0.762,0.238,0,1,0.979,0.027,0.796,0.178,0,0,1,0
0,8/20/2018,0,0,0,0,1,0.34,0.046,0.894,0.06,0,0,1,0
6,8/20/2018,0.649983333,0.004,0.819333333,0.176666667,1,0.5267,0,0.901,0.099,0.504,0,0.86,0.14
0,8/20/2018,0,0,0,0,1,0,0,0,0,0.4515,0,0.881,0.119
3,8/19/2018,0.216366667,0,0.948,0.052,1,0.9485,0.042,0.732,0.226,0.6369,0,0.543,0.457
6,8/19/2018,0.15904,0.172,0.7216,0.1064,1,0,0,0,0,0.8492,0.03,0.743,0.227
0,8/19/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
22,8/19/2018,0.228938095,0.026285714,0.882380952,0.091333333,1,0.7387,0.043,0.858,0.1,0.6476,0,0.486,0.514
0,8/19/2018,0,0,0,0,1,0,0,0,0,0.875,0,0.474,0.526
3,8/19/2018,0.395733333,0.025666667,0.786,0.188333333,1,0.7569,0,0.838,0.162,0,0,1,0
2,8/19/2018,0.4901,0.1255,0.684,0.19,1,0,0,0,0,0.6757,0,0.824,0.176
8,8/18/2018,-0.210066667,0.151333333,0.760666667,0.087833333,1,0,0,0,0,0,0,1,0
5,8/18/2018,0.087975,0.10325,0.598,0.29875,1,0.9455,0,0.718,0.282,0.3612,0,0.533,0.467
0,8/18/2018,0,0,0,0,1,0.9538,0.039,0.816,0.145,0,0,1,0
36,8/17/2018,0.21745,0.07321875,0.708875,0.21790625,1,0.9168,0,0.804,0.196,0,0,1,0
25,8/17/2018,0.19663,0.0194,0.8243,0.1063,1,-0.7845,0.33,0.67,0,-0.4019,0.351,0.649,0
12,8/17/2018,0.68122,0.0026,0.7566,0.2408,1,0.8499,0.042,0.868,0.09,0.2714,0.099,0.751,0.15
1,8/17/2018,0,0,1,0,1,0,0,0,0,0.2023,0,0.878,0.122
2,8/17/2018,-0.8519,0.223,0.777,0,1,0.4927,0.056,0.899,0.046,-0.34,0.324,0.676,0
27,8/17/2018,-0.042168,0.076,0.78532,0.05876,1,-0.3839,0.246,0.754,0,0,0,1,0
23,8/16/2018,0.443691304,0.004869565,0.497347826,0.497782609,1,0.9078,0.023,0.848,0.129,0.4574,0,0.572,0.428
7,8/16/2018,0.328716667,0.066,0.7605,0.1735,1,0,0,0,0,0.7326,0,0.819,0.181
0,8/16/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
6,8/16/2018,0.488116667,0,0.863666667,0.136333333,1,0,0,0,0,0.3818,0,0.698,0.302
7,8/15/2018,0.55465,0,0.7825,0.2175,1,0,0,1,0,0.7845,0,0.655,0.345
1,8/15/2018,0.4019,0,0.876,0.124,1,0,0,0,0,0,0,1,0
0,8/15/2018,0,0,0,0,1,0,0,0,0,0.2023,0,0.878,0.122
0,8/15/2018,0,0,0,0,1,0.9887,0.01,0.835,0.156,0.5563,0,0.455,0.545
3,8/15/2018,0.378433333,0.070333333,0.656666667,0.273,1,0,0,1,0,0.7959,0,0.748,0.252
13,8/15/2018,0.2772,0.0367,0.8656,0.0977,1,-0.296,0.073,0.927,0,-0.5106,0.202,0.798,0
0,8/15/2018,0,0,0,0,1,0,0,0,0,0.4019,0,0.816,0.184
0,8/15/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
3,8/14/2018,0.40755,0,0.827,0.173,1,0.2144,0.038,0.88,0.082,0.7906,0,0.529,0.471
3,8/14/2018,0.390566667,0.038,0.796666667,0.165333333,1,0.765,0.037,0.864,0.099,0,0,1,0
42,8/14/2018,0.222902703,0.028945946,0.759351351,0.211675676,1,0,0,0,0,-0.3612,0.238,0.762,0
4,8/14/2018,0.7927,0.08775,0.68925,0.2225,1,0.9849,0.012,0.83,0.158,0,0,1,0
0,8/14/2018,0,0,0,0,1,0,0,0,0,-0.3612,0.217,0.783,0
0,8/14/2018,0,0,0,0,1,0,0,1,0,0.2732,0,0.656,0.344
1,8/14/2018,0,0,0,0,1,0,0,0,0,0.9348,0,0.568,0.432
2,8/14/2018,0,0,1,0,1,0,0,1,0,0.4404,0,0.854,0.146
2,8/13/2018,0,0,1,0,1,0,0,1,0,0,0,1,0
6,8/13/2018,0.2753,0.047833333,0.734166667,0.218,1,0,0,0,0,0,0,1,0
0,8/13/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
3,8/13/2018,0.133966667,0,0.934333333,0.065666667,1,-0.5859,0.533,0.246,0.221,0,0,1,0
4,8/13/2018,0.395166667,0.066666667,0.85,0.083333333,1,0.2023,0.103,0.759,0.138,0,0,1,0
2,8/13/2018,0.1531,0.367,0.167,0.467,1,0.6419,0.061,0.762,0.177,0.4215,0,0.417,0.583
17,8/12/2018,0.34454375,0.0381875,0.8315625,0.130125,1,0.9932,0,0.742,0.258,0.6705,0,0.711,0.289
11,8/12/2018,-0.165557143,0.174428571,0.757857143,0.067428571,1,0,0,1,0,0,0,1,0
0,8/12/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8/11/2018,0,0,0,0,1,0,0,0,0,0.7941,0,0.678,0.322
0,8/11/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
2,8/11/2018,-0.27115,0.318,0.682,0,1,0,0,0,0,0,0,1,0
0,8/11/2018,0,0,0,0,1,0.3736,0.157,0.611,0.232,0,0,1,0
1,8/11/2018,0.6351,0,0.544,0.456,1,0,0,0,0,0.2263,0,0.909,0.091
6,8/11/2018,0.07982,0.0984,0.757,0.1446,1,0.9718,0,0.667,0.333,0.7345,0,0.447,0.553
17,8/10/2018,0.237047059,0.086235294,0.718705882,0.195294118,1,0,0,0,0,0.7346,0,0.853,0.147
0,8/10/2018,0,0,0,0,1,0,0,0,0,0.7346,0,0.85,0.15
0,8/10/2018,0,0,0,0,1,0,0,0,0,0.4588,0,0.812,0.188
1,8/10/2018,0,0,1,0,1,0,0,0,0,0,0,1,0
0,8/10/2018,0,0,0,0,1,0,0,1,0,0.25,0,0.875,0.125
1,8/10/2018,0.7783,0,0.128,0.872,1,0.9753,0.009,0.867,0.124,0.5994,0,0.671,0.329
2,8/10/2018,-0.0772,0.056,0.944,0,1,0,0,1,0,-0.3182,0.204,0.796,0
1,8/9/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8/9/2018,0,0,0,0,1,0,0,0,0,0.4404,0,0.838,0.162
7,8/9/2018,-0.120166667,0.156833333,0.755666667,0.087666667,1,0,0,0,0,-0.6486,0.417,0.583,0
3,8/9/2018,0.193533333,0.123666667,0.643,0.233,1,-0.9389,0.104,0.844,0.052,0,0,1,0
37,8/9/2018,0.346246667,0.040266667,0.833533333,0.126166667,1,0,0,0,0,0.9115,0,0.771,0.229
0,8/9/2018,0,0,0,0,1,0.9626,0.058,0.782,0.161,-0.1027,0.27,0.5,0.23
0,8/9/2018,0,0,0,0,1,0.99,0.018,0.838,0.143,0,0,1,0
0,8/9/2018,0,0,0,0,1,0,0,1,0,0.4019,0,0.526,0.474
10,8/8/2018,0.3890625,0.017875,0.79225,0.18975,1,0.9829,0.006,0.841,0.152,0,0,1,0
4,8/8/2018,-0.069775,0.10275,0.8185,0.079,1,0.7622,0,0.805,0.195,0,0,1,0
0,8/8/2018,0,0,0,0,1,0,0,0,0,0.4404,0,0.838,0.162
1,8/8/2018,0,0,1,0,1,0.4019,0,0.87,0.13,0.4019,0,0.649,0.351
5,8/8/2018,-0.1528,0.04875,0.6855,0.2655,1,0,0,1,0,0,0,1,0
10,8/8/2018,0.370722222,0.013555556,0.649555556,0.336888889,1,0,0,0,0,0,0,1,0
189,8/8/2018,0.118809146,0.065731707,0.825079268,0.10920122,1,0,0,0,0,-0.7658,0.231,0.769,0
6,8/8/2018,-0.281916667,0.207,0.763833333,0.029166667,1,0,0,0,0,-0.34,0.231,0.769,0
0,8/8/2018,0,0,0,0,1,0,0,0,0,0.5574,0,0.787,0.213
0,8/8/2018,0,0,0,0,1,0,0,0,0,0.4404,0,0.58,0.42
16,8/8/2018,0.148815385,0.038384615,0.857615385,0.104076923,1,0.0772,0.077,0.841,0.082,0.2732,0.232,0.421,0.347
0,8/8/2018,0,0,0,0,1,0.9028,0.042,0.757,0.2,0.7717,0,0.66,0.34
0,8/8/2018,0,0,0,0,1,0,0,0,0,0.34,0,0.789,0.211
0,8/8/2018,0,0,0,0,1,0.8126,0.07,0.7,0.23,0,0,1,0
1,8/7/2018,0,0,0,0,1,-0.1285,0.16,0.71,0.13,0,0,1,0
5,8/7/2018,0.622025,0.0525,0.6575,0.29,1,0,0,0,0,-0.6103,0.111,0.889,0
0,8/7/2018,0,0,0,0,1,0,0,0,0,-0.7147,0.427,0.573,0
0,8/7/2018,0,0,0,0,1,0,0,0,0,0.6124,0,0.808,0.192
0,8/6/2018,0,0,0,0,1,0,0,0,0,0.9642,0,0.57,0.43
5,8/6/2018,0.13136,0.178,0.674,0.1482,1,0,0,0,0,0.4003,0,0.934,0.066
0,8/6/2018,0,0,0,0,1,0,0,0,0,0.6249,0,0.81,0.19
10,8/6/2018,-0.09134,0.1431,0.7727,0.0843,1,0.9442,0.043,0.736,0.221,0,0,1,0
0,8/6/2018,0,0,0,0,1,0.9403,0,0.757,0.243,0,0,1,0
0,8/6/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
1,8/6/2018,0.4754,0,0.244,0.756,1,0,0,0,0,0,0,1,0
18,8/5/2018,0.235193333,0.043666667,0.595866667,0.360466667,1,0,0,0,0,0,0,1,0
0,8/5/2018,0,0,0,0,1,0.9559,0,0.785,0.215,0.3612,0,0.615,0.385
0,8/5/2018,0,0,0,0,1,0,0,1,0,0.9009,0,0.714,0.286
0,8/5/2018,0,0,0,0,1,0,0,0,0,0.5756,0,0.763,0.237
56,8/5/2018,0.129195745,0.084851064,0.759404255,0.155744681,1,-0.3822,0.16,0.769,0.072,0,0,1,0
2,8/4/2018,0.45325,0,0.7,0.3,1,0.6322,0.071,0.826,0.104,0.5994,0,0.62,0.38
0,8/4/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
1,8/4/2018,0,0,1,0,1,0,0,0,0,0,0,1,0
39,8/4/2018,0.267581818,0.048606061,0.709090909,0.242272727,1,0.4215,0,0.682,0.318,0.3382,0,0.745,0.255
0,8/4/2018,0,0,0,0,1,0,0,1,0,0.3818,0,0.755,0.245
7,8/3/2018,0.497616667,0,0.7475,0.2525,1,0.5719,0.036,0.809,0.155,0,0,1,0
6,8/3/2018,0.18124,0.0146,0.9336,0.0518,1,0,0,0,0,0.7269,0,0.697,0.303
0,8/3/2018,0,0,0,0,1,0,0,0,0,0.6486,0,0.602,0.398
1,8/3/2018,0.3612,0,0.667,0.333,1,0,0,0,0,0.6486,0,0.629,0.371
3,8/3/2018,0.452933333,0,0.839666667,0.160333333,1,0,0,0,0,0.4215,0,0.851,0.149
0,8/3/2018,0,0,0,0,1,0,0,1,0,0.4939,0,0.682,0.318
4,8/3/2018,0.36315,0,0.828,0.172,1,0.9619,0.029,0.773,0.198,0,0,1,0
4,8/3/2018,0.3122,0,0.86175,0.13825,1,0,0,0,0,0.6239,0,0.796,0.204
0,8/3/2018,0,0,0,0,1,0,0,0,0,0.4404,0,0.896,0.104
14,8/3/2018,0.323507692,0.014846154,0.678846154,0.306307692,1,0.8845,0,0.686,0.314,0.4389,0,0.675,0.325
14,8/3/2018,0.355,0.035285714,0.764928571,0.199785714,1,0.3527,0,0.919,0.081,0,0,1,0
0,8/3/2018,0,0,0,0,1,0,0,0,0,-0.128,0.266,0.504,0.23
0,8/3/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8/3/2018,0,0,0,0,1,0,0,0,0,0.4767,0,0.744,0.256
1,8/2/2018,0.5267,0,0,1,1,0.7845,0.015,0.919,0.067,0,0,1,0
1,8/2/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8/2/2018,0,0,0,0,2,0,0,0,0,0,0,1,0
0,8/2/2018,0,0,0,0,1,0,0,0,0,0.9245,0,0.737,0.263
0,8/2/2018,0,0,0,0,1,0,0,0,0,0.9245,0,0.737,0.263
0,8/2/2018,0,0,0,0,1,0,0,0,0,0.9245,0,0.737,0.263
0,8/2/2018,0,0,0,0,1,0,0,0,0,0.9245,0,0.737,0.263
0,8/2/2018,0,0,0,0,1,0.9796,0.014,0.803,0.183,-0.3595,0.263,0.737,0
0,8/1/2018,0,0,0,0,1,0,0,0,0,-0.7644,0.297,0.703,0
0,8/1/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
2,8/1/2018,0.1806,0,0.8335,0.1665,1,0,0,0,0,0.8442,0,0.397,0.603
4,8/1/2018,0.21795,0.08475,0.7725,0.1425,1,0,0,1,0,0,0,1,0
0,8/1/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
8,8/1/2018,0.081925,0.09775,0.8055,0.09675,1,0.9946,0.045,0.809,0.146,-0.4404,0.592,0.408,0
0,8/1/2018,0,0,0,0,1,-0.6553,0.057,0.916,0.027,0,0,1,0
8,7/31/2018,0.032157143,0.082,0.764285714,0.153714286,1,0,0,1,0,0,0,1,0
1,7/31/2018,0,0,0,0,1,0,0,0,0,0.4199,0,0.741,0.259
9,7/31/2018,-0.0283,0.067714286,0.721714286,0.067714286,1,0,0,1,0,-0.6486,0.147,0.853,0
1,7/31/2018,0.6124,0,0.861,0.139,1,0,0,0,0,0.5859,0,0.906,0.094
89,7/31/2018,0.044148193,0.091506024,0.77046988,0.138012048,1,0,0,1,0,-0.7346,0.168,0.802,0.029
4,7/31/2018,0.449966667,0.102,0.623,0.274666667,1,0.128,0,0.857,0.143,0.34,0,0.769,0.231
0,7/31/2018,0,0,0,0,1,0,0,0,0,0.5574,0,0.603,0.397
0,7/31/2018,0,0,0,0,1,0,0,1,0,0.807,0,0.611,0.389
2,7/31/2018,0.6537,0,0.377,0.623,1,0,0,0,0,0.25,0,0.818,0.182
9,7/31/2018,0.318811111,0,0.859,0.141,1,0.5106,0,0.809,0.191,0,0,1,0
6,7/31/2018,0.427933333,0.024333333,0.827666667,0.148,1,0,0,1,0,0,0,1,0
50,7/31/2018,0.120942553,0.065851064,0.83287234,0.101234043,1,0.25,0.113,0.75,0.138,0,0,1,0
0,7/31/2018,0,0,0,0,1,0,0,0,0,0.7959,0,0.756,0.244
4,7/31/2018,0.4923,0.0265,0.58325,0.39025,1,0.9664,0,0.831,0.169,0,0,1,0
12,7/31/2018,-0.082981818,0.127545455,0.801818182,0.070636364,1,0,0,1,0,-0.5294,0.461,0.539,0
0,7/31/2018,0,0,0,0,1,-0.6772,0.359,0.527,0.114,0,0,1,0
1,7/30/2018,-0.5848,0.655,0.345,0,1,0,0,0,0,0.3527,0,0.803,0.197
6,7/30/2018,0.50765,0.055333333,0.775666667,0.168833333,1,0,0,1,0,0.4912,0,0.803,0.197
0,7/30/2018,0,0,0,0,1,0,0,1,0,-0.5267,0.254,0.746,0
4,7/30/2018,0.293125,0.03625,0.64975,0.314,1,-0.6199,0.162,0.774,0.064,-0.5719,0.425,0.575,0
0,7/30/2018,0,0,0,0,1,0,0,0,0,-0.296,0.18,0.82,0
5,7/29/2018,0.20518,0.0394,0.8076,0.153,1,0.4871,0.039,0.853,0.108,0,0,1,0
0,7/28/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
0,7/28/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
1,7/28/2018,-0.3182,0.365,0.635,0,1,0,0,1,0,0,0,1,0
17,7/28/2018,0.12141875,0.0401875,0.864625,0.095125,1,0.979,0,0.776,0.224,0,0,1,0
7,7/28/2018,0.096914286,0.037571429,0.729714286,0.089857143,1,0,0,1,0,0,0,1,0
3,7/28/2018,0.1998,0,0.666666667,0.333333333,1,-0.128,0.113,0.784,0.103,0,0,1,0
15,7/27/2018,-0.041566667,0.060933333,0.8056,0.133466667,1,-0.2093,0.111,0.803,0.086,0,0,1,0
0,7/26/2018,0,0,0,0,1,0,0,1,0,-0.2732,0.149,0.851,0
3,7/26/2018,0.377066667,0,0.428333333,0.238333333,1,0,0,0,0,0.7351,0,0.788,0.212
1,7/26/2018,0,0,0,0,1,0,0,0,0,0.7351,0,0.78,0.22
4,7/26/2018,0.210075,0.0235,0.90275,0.0735,1,0,0,0,0,0.8439,0,0.798,0.202
1,7/26/2018,0,0,0,0,1,0,0,0,0,0.4404,0,0.633,0.367
14,7/25/2018,0.599157143,0.009285714,0.664428571,0.326214286,1,0.477,0,0.922,0.078,0,0,1,0
0,7/25/2018,0,0,0,0,1,0.9493,0,0.88,0.12,0.4574,0,0.572,0.428
0,7/25/2018,0,0,0,0,1,0,0,0,0,-0.3612,0.333,0.667,0
21,7/25/2018,-0.03905,0.042,0.922214286,0.035857143,1,0.3612,0,0.912,0.088,0,0,1,0
0,7/25/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,7/24/2018,0,0,0,0,1,-0.2006,0.101,0.899,0,0,0,1,0
0,7/24/2018,0,0,0,0,1,0.9753,0,0.846,0.154,0.4574,0,0.728,0.272
4,7/24/2018,0,0,1,0,1,0.6249,0,0.785,0.215,-0.296,0.239,0.761,0
5,7/24/2018,-0.21416,0.1176,0.4824,0,1,0,0,0,0,0,0,1,0
1,7/24/2018,0,0,1,0,1,0,0,1,0,0,0,1,0
0,7/24/2018,0,0,0,0,1,0.6597,0.051,0.847,0.102,0.3612,0,0.815,0.185
8,7/24/2018,0.0633,0.00525,0.885375,0.109375,1,0,0,1,0,0,0,1,0
0,7/24/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
12,7/24/2018,0.31007,0.0801,0.7489,0.171,1,-0.4678,0.105,0.783,0.112,0,0,1,0
0,7/23/2018,0,0,0,0,1,0,0,0,0,0.9324,0,0.568,0.432
0,7/23/2018,0,0,0,0,1,-0.86,0.146,0.84,0.014,0,0,1,0
0,7/23/2018,0,0,0,0,1,0.5562,0,0.817,0.183,0.4912,0,0.758,0.242
0,7/23/2018,0,0,0,0,1,-0.9389,0.104,0.844,0.052,0,0,1,0
0,7/23/2018,0,0,0,0,1,0,0,1,0,0.8016,0,0.55,0.45
0,7/23/2018,0,0,0,0,1,0,0,1,0,0.2023,0.1,0.762,0.138
76,7/22/2018,0.248192537,0.082149254,0.755597015,0.162313433,2,0.784,0,0.901,0.099,-0.4767,0.437,0.563,0
0,7/22/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
71,7/22/2018,0.1363575,0.057275,0.813175,0.129525,1,0,0,1,0,0.2263,0,0.894,0.106
4,7/21/2018,0.4158,0,0.3525,0.1475,2,0,0,0,0,0.6249,0,0.889,0.111
40,7/21/2018,0.394604,0.0472,0.8024,0.1504,8,0.9737,0.042,0.828,0.13,0.4404,0,0.847,0.153
6,7/21/2018,0.59795,0,0.798,0.202,4,-0.5719,0.116,0.823,0.061,-0.4601,0.298,0.556,0.146
20,7/21/2018,0.291963158,0.026105263,0.781631579,0.192263158,1,0,0,0,0,0,0,1,0
9,7/20/2018,0.109,0.117888889,0.714333333,0.167777778,1,0.5023,0,0.86,0.14,0,0,1,0
19,7/20/2018,0.187652632,0.050578947,0.835684211,0.113684211,1,0.9267,0.011,0.842,0.147,0,0,1,0
16,7/20/2018,0.1761,0.0720625,0.7879375,0.14,1,-0.204,0.239,0.58,0.181,0.5267,0,0.872,0.128
5,7/20/2018,0.161033333,0.044333333,0.862666667,0.093333333,1,0.8481,0,0.857,0.143,0.3818,0,0.606,0.394
31,7/19/2018,0.083861905,0.051857143,0.794571429,0.153571429,1,0,0,0,0,0,0,1,0
0,7/19/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
4,7/19/2018,0.21835,0.16275,0.5565,0.28075,1,0,0,0,0,0,0,1,0
0,7/19/2018,0,0,0,0,1,0.1114,0.135,0.721,0.144,0.5411,0,0.72,0.28
1,7/19/2018,0,0,0,0,1,0.1114,0.135,0.721,0.144,0.5411,0,0.72,0.28
7,7/19/2018,0.078042857,0.048714286,0.726714286,0.224571429,1,0,0,0,0,0,0,1,0
2,7/19/2018,0.7003,0.066,0.658,0.276,1,0,0,0,0,0,0,1,0
0,7/19/2018,0,0,0,0,1,0,0,0,0,0.2263,0.111,0.741,0.148
16,7/19/2018,-0.053833333,0.1444,0.782466667,0.073066667,1,-0.4003,0.097,0.903,0,-0.34,0.211,0.789,0
16,7/19/2018,0.250328571,0.040857143,0.854071429,0.105071429,1,0.1611,0.031,0.933,0.036,0.4939,0,0.484,0.516
55,7/18/2018,-0.057323913,0.14676087,0.75123913,0.080195652,1,0.2732,0.085,0.82,0.095,-0.6096,0.332,0.668,0
6,7/18/2018,0.032983333,0.051833333,0.865666667,0.082666667,1,-0.0258,0.137,0.732,0.132,-0.4215,0.483,0.517,0
1,7/18/2018,0.4019,0,0,1,1,0,0,0,0,0.4404,0,0.508,0.492
3,7/18/2018,-0.121066667,0.075,0.878333333,0.046666667,1,0.3612,0,0.872,0.128,0,0,1,0
0,7/18/2018,0,0,0,0,1,0,0,0,0,0.4404,0,0.508,0.492
41,7/18/2018,0.148325641,0.043769231,0.794538462,0.136051282,1,0,0,0,0,0.5399,0,0.789,0.211
2,7/18/2018,0.3142,0.0605,0.6925,0.2475,1,0.7305,0,0.873,0.127,0,0,1,0
14,7/18/2018,0.202907692,0.040615385,0.769230769,0.190153846,1,0.9822,0.039,0.529,0.432,0,0,1,0
0,7/18/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
1,7/18/2018,0,0,1,0,1,0,0,0,0,0,0,1,0
1,7/18/2018,0,0,1,0,1,0,0,0,0,0.4019,0,0.861,0.139
