# Comments,Timestamp,comments_comp,comments_neg,comments_neu,comments_pos,score,submission_compound,submission_neg,submission_neu,submission_pos,title_compound,title_neg,title_neu,title_pos
1,9/1/2018,0,0,1,0,1,0,0,0,0,0.4574,0,0.897,0.103
0,9/1/2018,0,0,0,0,1,0,0,0,0,-0.4588,0.129,0.871,0
0,9/1/2018,0,0,0,0,1,0,0,0,0,0.4753,0,0.744,0.256
0,9/1/2018,0,0,0,0,1,0.8708,0.059,0.82,0.12,0.4939,0,0.385,0.615
3,9/1/2018,0.186,0.054333333,0.592333333,0.353333333,1,0.8197,0,0.859,0.141,0,0,1,0
9,8/31/2018,0.361377778,0.039777778,0.840666667,0.119555556,1,0,0,0,0,0.6476,0,0.782,0.218
24,8/30/2018,0.160904545,0.050136364,0.749727273,0.200090909,1,-0.836,0.227,0.694,0.079,-0.7964,0.78,0.22,0
0,8/30/2018,0,0,0,0,1,0.9992,0.069,0.761,0.171,0.7845,0.201,0.368,0.431
3,8/30/2018,0.182566667,0.059333333,0.817666667,0.123,1,-0.5251,0.115,0.885,0,0,0,1,0
0,8/30/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
1,8/30/2018,0,0,0,0,1,0,0,0,0,0.1967,0,0.922,0.078
0,8/30/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
0,8/30/2018,0,0,0,0,1,-0.9802,0.133,0.792,0.075,0.4585,0,0.5,0.5
0,8/30/2018,0,0,0,0,1,0.9498,0,0.859,0.141,0.2263,0,0.84,0.16
0,8/29/2018,0,0,0,0,1,0.9718,0,0.667,0.333,0.7345,0,0.447,0.553
9,8/29/2018,0.1907875,0.139625,0.623375,0.237,1,0,0,0,0,0,0,1,0
0,8/29/2018,0,0,0,0,1,0,0,0,0,0.4019,0,0.722,0.278
61,8/29/2018,0.174681081,0.06727027,0.818972973,0.113675676,1,0,0,0,0,0.3612,0,0.706,0.294
2,8/29/2018,0.46095,0,0.4045,0.0955,1,0,0,0,0,0.6514,0,0.829,0.171
11,8/29/2018,0.248327273,0.195909091,0.715545455,0.088454545,1,0,0,0,0,0.2168,0.062,0.851,0.087
0,8/29/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
5,8/29/2018,0.24614,0,0.7912,0.2088,1,0,0,0,0,0.6124,0,0.643,0.357
0,8/28/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
0,8/28/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
29,8/27/2018,0.213542857,0.01425,0.799571429,0.186178571,1,0,0,0,0,0,0,1,0
14,8/27/2018,0.18125,0.045357143,0.833785714,0.120785714,1,-0.5423,0.063,0.888,0.049,0,0,1,0
8,8/27/2018,0.155614286,0.041857143,0.864142857,0.094,1,0,0,1,0,0.5859,0,0.714,0.286
5,8/27/2018,0.34984,0.0762,0.5186,0.4052,1,0.9986,0.013,0.824,0.162,0,0,1,0
0,8/27/2018,0,0,0,0,1,0.9986,0.013,0.825,0.162,0,0,1,0
0,8/26/2018,0,0,0,0,1,0,0,0,0,0,0,1,0
0,8/25/2018,0,0,0,0,1,0,0,0,0,0.7184,0,0.81,0.19
0,8/25/2018,0,0,0,0,1,0.75,0,0.727,0.273,0,0,1,0
0,8/25/2018,0,0,0,0,1,0,0,1,0,0,0,1,0
1,8/25/2018,0,0,0,0,1,0.7717,0,0.915,0.085,0,0,1,0
24,8/24/2018,0.215281818,0.065727273,0.740454545,0.193863636,1,0.926,0.044,0.729,0.227,0.128,0,0.667,0.333
0,8/24/2018,0,0,0,0,1,0.9822,0.047,0.811,0.142,0.1531,0.174,0.606,0.22
22,8/24/2018,0.370368421,0.064736842,0.809736842,0.125473684,1,0,0,0,0,0.5719,0,0.791,0.209
0,8/24/2018,0,0,0,0,1,0.9892,0.01,0.809,0.181,0.6369,0,0.802,0.198
1,8/24/2018,0,0,1,0,1,0,0,0,0,0.7783,0,0.541,0.459
23,8/24/2018,0.317409091,0.035045455,0.793772727,0.171181818,1,0.9935,0.035,0.809,0.156,0,0,1,0
5,8/24/2018,0.15888,0.1108,0.7614,0.1278,1,0,0,0,0,0.4019,0.064,0.813,0.123
0,8/24/2018,0,0,0,0,1,0,0,0,0,0.7845,0.026,0.804,0.17
32,8/24/2018,0.07583,0.068233333,0.801033333,0.1307,1,0,0,0,0,0.1779,0.098,0.765,0.137
1,8/23/2018,0,0,1,0,1,0,0,0,0,0.8955,0,0.807,0.193
1,8/23/2018,-0.104,0.109,0.83,0.061,1,0,0,0,0,0.6249,0,0.805,0.195
6,8/23/2018,-0.123183333,0.04,0.793333333,0,1,0.0516,0.085,0.823,0.092,0,0,1,0
5,8/23/2018,0.45226,0,0.7494,0.2506,1,0.9312,0.029,0.835,0.136,0,0,1,0
